https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1638244800000,2021-11-30 04:00:00,DAI/USD,1.0003,1.0029,1.0003,1.0004,16823.710878043763,16816.98408441
1638241200000,2021-11-30 03:00:00,DAI/USD,1.0003,1.0007,1.0002,1.0004,277.453484338928,277.34254732
1638237600000,2021-11-30 02:00:00,DAI/USD,1.0004,1.0005,1.0002,1.0004,412.97836562613196,412.81324033
1638234000000,2021-11-30 01:00:00,DAI/USD,1.0004,1.0005,1.0002,1.0002,306.423549135336,306.36227668
1638230400000,2021-11-30 00:00:00,DAI/USD,1.0002,1.0006,1.0002,1.0002,405.974353955064,405.89317532
1638226800000,2021-11-29 23:00:00,DAI/USD,1.0003,1.0008,0.99998,1.0002,893.792543504148,893.6138207399999
1638223200000,2021-11-29 22:00:00,DAI/USD,1.0003,1.0004,0.9998,1.0004,1014.018951622488,1013.61350622
1638219600000,2021-11-29 21:00:00,DAI/USD,0.99991,1.0003,0.9997,0.99991,1118.5140731126405,1118.61474844
1638216000000,2021-11-29 20:00:00,DAI/USD,1.0001,1.0009,0.99991,1.0002,1052.994334795608,1052.78377804
1638212400000,2021-11-29 19:00:00,DAI/USD,1.0002,1.0007,0.9999,1.0003,1066.227480562475,1065.90770825
1638208800000,2021-11-29 18:00:00,DAI/USD,1.0004,1.0008,0.9998,1.0005,1272.1899074752048,1271.55413041
1638205200000,2021-11-29 17:00:00,DAI/USD,1.0004,1.0009,0.9995,0.9998,10177.156381316048,10179.19221976
1638201600000,2021-11-29 16:00:00,DAI/USD,1.0005,1.0006,1.0002,1.0003,889.007549238088,888.74092696
1638198000000,2021-11-29 15:00:00,DAI/USD,1.0004,1.0006,1.0002,1.0005,1108.502570568135,1107.94859627
1638194400000,2021-11-29 14:00:00,DAI/USD,1.0005,1.0009,1.0002,1.0006,546.589124230446,546.26136741
