https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AID
1606132800000,2020-11-23 12:00:00,AID/USD,0.0082161,0.0082161,0.0082161,0.0082161,19.6611273,2393.0
1606129200000,2020-11-23 11:00:00,AID/USD,0.008466,0.008466,0.0082145,0.0082145,54.34041884510736,6615.18276768
1606125600000,2020-11-23 10:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,53.9776074932,6503.326204
1606122000000,2020-11-23 09:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,124.0421117337,14944.832739
1606100400000,2020-11-23 03:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,12.852135,1548.45
1606086000000,2020-11-22 23:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,8.7113779381,1049.563607
1606078800000,2020-11-22 21:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,690.897229,83240.63
1606075200000,2020-11-22 20:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,17.98112,2166.4
1606071600000,2020-11-22 19:00:00,AID/USD,0.0085234,0.009,0.0085234,0.009,181.31441945112,20146.04660568
1606068000000,2020-11-22 18:00:00,AID/USD,0.0083033,0.0085234,0.0083033,0.0085234,83.33541300798281,9777.250042
1606064400000,2020-11-22 17:00:00,AID/USD,0.0083033,0.0083033,0.0083033,0.0083033,27.020598859999996,3254.2
1606060800000,2020-11-22 16:00:00,AID/USD,0.0085498,0.0085498,0.0085498,0.0085498,19.453469852124897,2275.31285552
1606053600000,2020-11-22 14:00:00,AID/USD,0.0084742,0.0084742,0.0083,0.0083,898.1135380876,108206.45037199999
1606050000000,2020-11-22 13:00:00,AID/USD,0.0083017,0.0083017,0.0083017,0.0083017,4.639654096,558.88
1606046400000,2020-11-22 12:00:00,AID/USD,0.0083017,0.0083017,0.0083017,0.0083017,67.95937654000001,8186.2
1606042800000,2020-11-22 11:00:00,AID/USD,0.00832,0.009,0.00832,0.009,57.55409999999999,6394.9
1606039200000,2020-11-22 10:00:00,AID/USD,0.008362,0.008362,0.008362,0.008362,2.5060914,299.7
1606032000000,2020-11-22 08:00:00,AID/USD,0.0083,0.009,0.0083,0.009,226.53070929899997,25170.078811
1606028400000,2020-11-22 07:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,354.0170160654,42652.652538
1606021200000,2020-11-22 05:00:00,AID/USD,0.0083,0.0083,0.0083,0.0083,2.07085,249.5
1606010400000,2020-11-22 02:00:00,AID/USD,0.0083,0.0091477,0.0083,0.0091477,21.77956316922,2380.8786
1606006800000,2020-11-22 01:00:00,AID/USD,0.0094416,0.0094416,0.0094416,0.0094416,19.020103199999998,2014.5
1606003200000,2020-11-22 00:00:00,AID/USD,0.0083606,0.0083606,0.0083,0.0083,83.96141604139999,10115.833257999999
1605992400000,2020-11-21 21:00:00,AID/USD,0.009581,0.0098244,0.0083606,0.0083606,146.22344669637562,17489.5876727
1605988800000,2020-11-21 20:00:00,AID/USD,0.0083444,0.0089,0.0083,0.0083,525.1485752191,63270.912677
1605985200000,2020-11-21 19:00:00,AID/USD,0.009,0.009,0.009,0.009,111.881999088,12431.333232
1605981600000,2020-11-21 18:00:00,AID/USD,0.00862,0.009,0.0083,0.009,1309.1522557844698,145461.36175383
1605978000000,2020-11-21 17:00:00,AID/USD,0.00867,0.00867,0.00867,0.00867,45.54859238001001,5253.586203000001
1605974400000,2020-11-21 16:00:00,AID/USD,0.0087601,0.01,0.0084,0.01,520.2110502771,52021.10502771
1605970800000,2020-11-21 15:00:00,AID/USD,0.0087601,0.0087601,0.0087601,0.0087601,43.6464010546197,4982.408997
1605945600000,2020-11-21 08:00:00,AID/USD,0.0085,0.0085,0.0085,0.0085,170.0,20000.0
1605920400000,2020-11-21 01:00:00,AID/USD,0.0086899,0.0086899,0.0086899,0.0086899,11.33858673750286,1304.80060041
1605909600000,2020-11-20 22:00:00,AID/USD,0.012736,0.013,0.00825,0.00825,421.642604625,51108.1945
1605888000000,2020-11-20 16:00:00,AID/USD,0.0135,0.0135,0.0083474,0.0083474,16.6781052,1998.0
1605862800000,2020-11-20 09:00:00,AID/USD,0.008525,0.008525,0.008525,0.008525,15.856706620425,1860.024237
1605855600000,2020-11-20 07:00:00,AID/USD,0.0085613,0.0085613,0.008513,0.008513,144.721,17000.0
1605848400000,2020-11-20 05:00:00,AID/USD,0.008505,0.008505,0.008505,0.008505,53.581500000000005,6300.0
1605844800000,2020-11-20 04:00:00,AID/USD,0.01377,0.0144,0.01377,0.0144,205.09940410128,14243.0141737
1605834000000,2020-11-20 01:00:00,AID/USD,0.008503,0.008503,0.008503,0.008503,33.58685,3950.0
1605816000000,2020-11-19 20:00:00,AID/USD,0.0085,0.0085,0.008408,0.008408,200.0000000000477,23786.86964796
1605808800000,2020-11-19 18:00:00,AID/USD,0.008125,0.008125,0.008125,0.008125,32.09375,3950.0
1605805200000,2020-11-19 17:00:00,AID/USD,0.010715,0.0145,0.010715,0.0145,1052.793530403715,72606.45037267
1605790800000,2020-11-19 13:00:00,AID/USD,0.0098876,0.01,0.0098876,0.01,730.9389250625001,73093.89250625
1605783600000,2020-11-19 11:00:00,AID/USD,0.0078,0.0078,0.0078,0.0078,6.290322580698,806.45161291
1605751200000,2020-11-19 02:00:00,AID/USD,0.01,0.01,0.01,0.01,340.0,34000.0
1605718800000,2020-11-18 17:00:00,AID/USD,0.0080708,0.0080708,0.0080708,0.0080708,12.007514317212399,1487.772503
1605708000000,2020-11-18 14:00:00,AID/USD,0.01,0.01,0.01,0.01,113.94684800000002,11394.6848
1605700800000,2020-11-18 12:00:00,AID/USD,0.01,0.01,0.01,0.01,340.0,34000.0
1605697200000,2020-11-18 11:00:00,AID/USD,0.0097277,0.01,0.0097277,0.01,107.12258324999999,10712.258324999999
1605679200000,2020-11-18 06:00:00,AID/USD,0.0075495,0.0075495,0.0075495,0.0075495,15.80037965394,2092.90412
1605668400000,2020-11-18 03:00:00,AID/USD,0.01,0.01,0.01,0.01,242.37107212,24237.107212
1605643200000,2020-11-17 20:00:00,AID/USD,0.009999,0.0099991,0.009999,0.0099991,82.3573260934972,8236.473892
1605607200000,2020-11-17 10:00:00,AID/USD,0.0099991,0.0099991,0.0099991,0.0099991,17.99838,1800.0
1605592800000,2020-11-17 06:00:00,AID/USD,0.00948,0.0098,0.00948,0.0098,781.1439939770039,79708.57081398
1605589200000,2020-11-17 05:00:00,AID/USD,0.0074987,0.0095,0.0074987,0.0095,494.80215282430004,52084.437139400005
1605556800000,2020-11-16 20:00:00,AID/USD,0.0071,0.0071,0.0066021,0.0066021,5.743827,870.0
1605513600000,2020-11-16 08:00:00,AID/USD,0.0074,0.0075,0.0074,0.0075,112.30499999999999,14974.0
1605510000000,2020-11-16 07:00:00,AID/USD,0.0075,0.0075,0.0075,0.0075,1.755,234.0
1605481200000,2020-11-15 23:00:00,AID/USD,0.006582,0.006582,0.006582,0.006582,5.252799991182,798.055301
1605463200000,2020-11-15 18:00:00,AID/USD,0.0066422,0.0066422,0.0065819,0.0065819,31.70072221349922,4816.34819938
1605434400000,2020-11-15 10:00:00,AID/USD,0.0071,0.0071,0.00681,0.00681,208.386,30600.0
1605394800000,2020-11-14 23:00:00,AID/USD,0.0075,0.0075,0.0075,0.0075,5.372494769999999,716.332636
1605272400000,2020-11-13 13:00:00,AID/USD,0.0071725,0.0071725,0.0070345,0.0070345,70.3801725,10005.0
1605099600000,2020-11-11 13:00:00,AID/USD,0.0069947,0.0069947,0.0069947,0.0069947,19.58795788,2800.4
1605088800000,2020-11-11 10:00:00,AID/USD,0.009333,0.009333,0.009333,0.009333,2.3332499999999996,250.0
1605060000000,2020-11-11 02:00:00,AID/USD,0.009333,0.009333,0.0069614,0.0069614,4.1373761088174,594.331041
1605049200,2020-11-10 23:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605045600,2020-11-10 22:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605042000,2020-11-10 21:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605038400,2020-11-10 20:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605034800,2020-11-10 19:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605031200,2020-11-10 18:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605027600,2020-11-10 17:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605024000,2020-11-10 16:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605020400,2020-11-10 15:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605016800,2020-11-10 14:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605013200,2020-11-10 13:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605009600,2020-11-10 12:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605006000,2020-11-10 11:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1605002400,2020-11-10 10:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1604998800,2020-11-10 09:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1604995200,2020-11-10 08:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1604991600,2020-11-10 07:00:00,AID/USD,0.006999,0.006999,0.006999,0.006999,0.0,0.0
1604988000000,2020-11-10 06:00:00,AID/USD,0.0069985,0.0069985,0.0069985,0.0069985,3.49575075,499.5
1604988000,2020-11-10 06:00:00,AID/USD,0.006854,0.006999,0.006854,0.006999,3.496,499.5
1604984400,2020-11-10 05:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
1604980800,2020-11-10 04:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
1604977200,2020-11-10 03:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
1604973600,2020-11-10 02:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
1604970000,2020-11-10 01:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
1604966400,2020-11-10 00:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
1604962800,2020-11-09 23:00:00,AID/USD,0.006854,0.006854,0.006854,0.006854,0.0,0.0
